case_id,customer_id,officer_id,step_name,action,timestamp,loan_amount_sanctioned,collateral_value,collateral_type,product_type,sector,branch_code,channel,customer_segment,emi_amount,monthly_income,credit_score_bureau,notes
CASE-001,CUST-001,OFF-101,Application Received,completed,2025-01-01T09:00:00,1000000,1200000,Property,Business Loan,Real Estate,BR-001,Branch,Regular,,,750,Large commercial property loan
CASE-001,CUST-001,OFF-101,Document Verification,completed,2025-01-01T10:30:00,1000000,1200000,Property,Business Loan,Real Estate,BR-001,Branch,Regular,,,750,All documents verified
CASE-001,CUST-001,OFF-101,Credit Check,completed,2025-01-01T11:00:00,1000000,1200000,Property,Business Loan,Real Estate,BR-001,Branch,Regular,,,750,Credit score: 750 - Good
CASE-001,CUST-001,OFF-101,Risk Assessment,completed,2025-01-01T14:00:00,1000000,1200000,Property,Business Loan,Real Estate,BR-001,Branch,Regular,,,750,Risk grade: Medium
CASE-001,CUST-001,OFF-101,Collateral Valuation,completed,2025-01-02T10:00:00,1000000,1200000,Property,Business Loan,Real Estate,BR-001,Branch,Regular,,,750,Property valued at $1.2M
CASE-001,CUST-001,OFF-101,Final Approval,approved,2025-01-02T15:00:00,1000000,1200000,Property,Business Loan,Real Estate,BR-001,Branch,Regular,,,750,VIOLATION: No Manager Approval for $1M loan!
CASE-001,CUST-001,OFF-101,Disbursement,completed,2025-01-03T09:00:00,1000000,1200000,Property,Business Loan,Real Estate,BR-001,Branch,Regular,,,750,Disbursed $1M
CASE-002,CUST-001,OFF-102,Application Received,completed,2025-01-05T09:00:00,900000,1000000,Property,Business Loan,Real Estate,BR-001,Branch,Regular,,,720,Second loan for same customer - exposure building up
CASE-002,CUST-001,OFF-102,Document Verification,completed,2025-01-05T11:00:00,900000,1000000,Property,Business Loan,Real Estate,BR-001,Branch,Regular,,,720,Documents verified
CASE-002,CUST-001,OFF-102,Credit Check,completed,2025-01-05T13:00:00,900000,1000000,Property,Business Loan,Real Estate,BR-001,Branch,Regular,,,720,Credit score: 720
CASE-002,CUST-001,OFF-102,Risk Assessment,completed,2025-01-05T15:00:00,900000,1000000,Property,Business Loan,Real Estate,BR-001,Branch,Regular,,,720,Risk grade: Medium
