case_id,customer_id,officer_id,step_name,action,timestamp,loan_amount_sanctioned,collateral_value,collateral_type,product_type,customer_segment,credit_score_bureau,emi_to_income_ratio,customer_age,employment_type,loan_tenor_months,ltv_ratio,mandate_status,kyc_status,sanctions_screening,risk_grade,notes
SPL-001,CUST-2401,OFF001,Application Received and Registration,completed,2025-01-06T09:15:00,450000,620000,Property,Secured Personal Loan - Salaried,Regular,735,42,34,Salaried,60,72.6,,,,B,Customer applied for secured personal loan against residential property. Application documents received and verified for completeness.
SPL-001,CUST-2401,OFF001,Initial Screening and Data Capture,completed,2025-01-06T09:47:00,450000,620000,Property,Secured Personal Loan - Salaried,Regular,735,42,34,Salaried,60,72.6,,,,B,Initial screening passed. All basic eligibility criteria met. Customer age 34 within range. Income verification documents present.
SPL-001,CUST-2401,OFF001,Customer KYC and AML Verification,completed,2025-01-06T10:32:00,450000,620000,Property,Secured Personal Loan - Salaried,Regular,735,42,34,Salaried,60,72.6,,Verified,No,B,KYC completed using Aadhaar and PAN. Address verification done through utility bill. AML screening clear. Sanctions list checked - no matches found.
SPL-001,CUST-2401,OFF001,Document Collection and Verification,completed,2025-01-06T11:18:00,450000,620000,Property,Secured Personal Loan - Salaried,Regular,735,42,34,Salaried,60,72.6,,Verified,No,B,All mandatory documents collected: Salary slips (3 months), bank statements (6 months), employment letter, property documents. All documents verified and valid.
SPL-001,CUST-2401,OFF001,Credit Bureau Check,completed,2025-01-06T13:05:00,450000,620000,Property,Secured Personal Loan - Salaried,Regular,735,42,34,Salaried,60,72.6,,Verified,No,B,CIBIL report obtained. Credit score 735. No adverse credit history. Existing obligations verified - total EMI to income ratio 42% which is acceptable.
SPL-001,CUST-2401,OFF001,Income and Employment Verification,completed,2025-01-06T14:22:00,450000,620000,Property,Secured Personal Loan - Salaried,Regular,735,42,34,Salaried,60,72.6,,Verified,No,B,Income verification completed through employer confirmation. Monthly salary 85000. Employment tenure 4 years with current employer. Stability confirmed.
SPL-001,CUST-2401,OFF001,Collateral Valuation and Verification,completed,2025-01-06T16:45:00,450000,620000,Property,Secured Personal Loan - Salaried,Regular,735,42,34,Salaried,60,72.6,,Verified,No,B,Property valuation completed by empaneled valuer. Market value assessed at 620000. LTV ratio 72.6%. Property located in prime area with good marketability.
SPL-001,CUST-2401,OFF001,Credit Risk Assessment and Scoring,completed,2025-01-07T09:35:00,450000,620000,Property,Secured Personal Loan - Salaried,Regular,735,42,34,Salaried,60,72.6,,Verified,No,B,Risk assessment completed. Risk Grade B assigned based on credit score 735, stable employment, acceptable LTV and EMI ratios. Overall risk profile - Medium risk.
SPL-001,CUST-2401,OFF001,Loan Structuring and Pricing,completed,2025-01-07T10:18:00,450000,620000,Property,Secured Personal Loan - Salaried,Regular,735,42,34,Salaried,60,72.6,,Verified,No,B,Loan structured for 60 months tenure. Interest rate 11.5% per annum. EMI calculated at 9950 per month. Pricing approved as per risk grade B.
SPL-001,CUST-2401,OFF001,Credit Approval (Level 1 - Branch Manager),approved,2025-01-07T11:42:00,450000,620000,Property,Secured Personal Loan - Salaried,Regular,735,42,34,Salaried,60,72.6,,Verified,No,B,Branch Manager approval granted. Loan amount 450000 within approval authority. All pre-approval conditions met. Risk grade acceptable for Branch Manager approval.
SPL-001,CUST-2401,OFF001,Legal Security Creation and Registration,completed,2025-01-08T11:20:00,450000,620000,Property,Secured Personal Loan - Salaried,Regular,735,42,34,Salaried,60,72.6,,Verified,No,B,Mortgage deed executed and registered with sub-registrar. Original property documents deposited with bank. Encumbrance certificate obtained confirming first charge.
SPL-001,CUST-2401,OFF001,EMI Mandate Setup (NACH/Standing Instruction),completed,2025-01-08T14:05:00,450000,620000,Property,Secured Personal Loan - Salaried,Regular,735,42,34,Salaried,60,72.6,Active,Verified,No,B,NACH mandate set up successfully. Mandate registered with customer salary account. Mandate amount 11000 (EMI + buffer). Status confirmed as Active.
SPL-001,CUST-2401,OFF001,Final Pre-Disbursement Quality Check,completed,2025-01-08T15:48:00,450000,620000,Property,Secured Personal Loan - Salaried,Regular,735,42,34,Salaried,60,72.6,Active,Verified,No,B,Pre-disbursement QC completed. All mandatory conditions verified: approval obtained, KYC complete, documents verified, security registered, mandate active. Ready for disbursement.
SPL-001,CUST-2401,OFF001,Loan Disbursement,completed,2025-01-09T09:23:00,450000,620000,Property,Secured Personal Loan - Salaried,Regular,735,42,34,Salaried,60,72.6,Active,Verified,No,B,Loan amount 450000 disbursed via RTGS to customer account. Disbursement confirmed. Welcome letter and repayment schedule sent to customer.
